LANDMARK_ID,LANDMARK_ID,DISTANCE
L01,L02,3013
L01,L03,1046
L01,L04,1179
L02,L10,3613
L03,L05,4204
L04,L09,2311
L05,L06,1039
L06,L07,2912
L07,L08,1891
L08,L09,2912
L09,L09,28292
L10,L06,30346
L11,L07,3240
L12,L08,34454
L13,L09,36508
L14,L09,38562
L15,L06,40616
L16,L07,4267
L17,L08,44724
L18,L09,46778
L19,L09,48832
L20,L06,50886
L21,L07,5294
L22,L08,54994
L23,L09,57048
L24,L09,59102
L25,L06,61156
L26,L07,6321
L27,L08,65264
L28,L09,67318
L29,L09,69372
L30,L06,71426
L31,L07,7348
L32,L08,75534
L33,L09,77588
L34,L09,79642
L35,L06,81696
L36,L07,8375
L37,L08,85804
L38,L09,87858
L39,L09,89912
L40,L06,91966
L41,L07,9402
L42,L08,96074
L43,L09,98128
L44,L09,100182
L45,L06,102236
L46,L07,10429
L47,L08,106344
L48,L09,108398
L49,L09,110452
L50,L06,112506
L51,L07,11456
L52,L08,116614
L53,L09,118668
L54,L09,120722
L55,L06,122776
L56,L07,12483
L57,L08,126884
L58,L09,128938
L59,L09,130992
L60,L06,133046
L61,L07,13510
L62,L08,137154
L63,L09,139208
L64,L09,141262
L65,L06,143316
L66,L07,14537
L67,L08,147424
L68,L09,149478
L69,L09,151532
L70,L06,153586
L71,L07,15564
L72,L08,157694
L73,L09,159748
L74,L09,161802
L75,L06,163856
L76,L07,16591
L77,L08,167964
L78,L09,170018
L79,L09,172072
L80,L06,174126
L81,L07,17618
L82,L08,178234
L83,L09,180288
L84,L09,182342
L85,L06,184396
L86,L07,18645
L87,L08,188504
L88,L09,190558
L89,L09,192612
L90,L06,194666
L91,L07,19672
L92,L08,198774
L93,L09,200828
L94,L09,202882
L95,L06,204936
L96,L07,20699
L97,L08,209044
L98,L09,211098
L99,L09,213152
L100,L06,215206
L101,L07,21726
L102,L08,219314
L103,L09,221368
L104,L09,223422
L105,L06,225476
L106,L07,22753
L107,L08,229584
L108,L09,231638
L109,L09,233692
L110,L06,235746
L111,L07,23780
L112,L08,239854
L113,L09,241908
L114,L09,243962
L115,L06,246016
L116,L07,24807
L117,L08,250124
L118,L09,252178
L119,L09,254232
L120,L06,256286
L121,L07,25834
L122,L08,260394
L123,L09,262448
L124,L09,264502
L125,L06,266556
L126,L07,26861
L127,L08,270664
L128,L09,272718
L129,L09,274772
L130,L06,276826
L131,L07,27888
L132,L08,280934
L133,L09,282988
L134,L09,285042
L135,L06,287096
L136,L07,28915
L137,L08,291204
L138,L09,293258
L139,L09,295312
L140,L06,297366
L141,L07,29942
L142,L08,301474
L143,L09,303528
L144,L09,305582
L145,L06,307636
L146,L07,30969
L147,L08,311744
L148,L09,313798
L149,L09,315852
L150,L06,317906
L151,L07,31996
L152,L08,322014
L153,L09,324068
L154,L09,326122
L155,L06,328176
L156,L07,33023
L157,L08,332284
L158,L09,334338
L159,L09,336392
L160,L06,338446
L161,L07,34050
L162,L08,342554
L163,L09,344608
L164,L09,346662
L165,L06,348716
L166,L07,35077
L167,L08,352824
L168,L09,354878
L169,L09,356932
L170,L06,358986
L171,L07,36104
L172,L08,363094
L173,L09,365148
L174,L09,367202
L175,L06,369256
L176,L07,37131
L177,L08,373364
L178,L09,375418
L179,L09,377472
L180,L09,379526
L181,L06,38158
L182,L07,383634
L183,L08,385688
L184,L09,387742
L185,L09,389796
L186,L06,39185
L187,L07,393904
L188,L08,395958
L189,L09,398012
L190,L09,400066
L191,L06,40212
L192,L07,404174
L193,L08,406228
L194,L09,408282
L195,L09,410336
L196,L06,41239
L197,L07,414444
L198,L08,416498
L199,L09,418552
L200,L09,420606
L201,L06,42266
L202,L07,424714
L203,L08,426768
L204,L09,428822
L205,L09,430876
L206,L06,43293
L207,L07,434984
L208,L08,437038
L209,L09,439092
L210,L09,441146
L211,L06,44320
L212,L07,445254
L213,L08,447308
L214,L09,449362
L215,L09,451416
L216,L06,45347
L217,L07,455524
L218,L08,457578
L219,L09,459632
L220,L09,461686
L221,L06,46374
L222,L07,465794
L223,L08,467848
L224,L09,469902
L225,L09,471956
L226,L06,47401
L227,L07,476064
L228,L08,478118
L229,L09,480172
L230,L09,482226
L231,L06,48428
L232,L07,486334
L233,L08,488388
L234,L09,490442
L235,L09,492496
L236,L06,49455
L237,L07,496604
L238,L08,498658
L239,L09,500712
L240,L09,502766
L241,L06,50482
L242,L07,506874
L243,L08,508928
L244,L09,510982
L245,L09,513036
L246,L06,51509
L247,L07,517144
L248,L08,519198
L249,L09,521252
L250,L09,523306
L251,L06,52536
L252,L07,527414
L253,L08,529468
L254,L09,531522
L255,L09,533576
L256,L06,53563
L257,L07,537684
L258,L08,539738
L259,L09,541792
L260,L09,543846
L261,L06,54590
L262,L07,547954
L263,L08,550008
L264,L09,552062
L265,L09,554116
L266,L06,55617
L267,L07,558224
L268,L08,560278
L269,L09,562332
L270,L09,564386
L271,L06,56644
L272,L07,568494
L273,L08,570548
L274,L09,572602
L275,L09,574656
L276,L06,57671
L277,L07,578764
L278,L08,580818
L279,L09,582872
L280,L09,584926
L281,L06,58698
L282,L07,589034
L283,L08,591088
L284,L09,593142
L285,L09,595196
L286,L06,59725
L287,L07,599304
L288,L08,601358
L289,L09,603412
L290,L09,605466
L291,L06,60752
L292,L07,609574
L293,L08,611628
L294,L09,613682
L295,L09,615736
L296,L06,61779
L297,L07,619844
L298,L08,621898
L299,L09,623952
L300,L09,626006
L301,L06,62806
L302,L07,630114
L303,L08,632168
L304,L09,634222
L305,L09,636276
L306,L06,63833
L307,L07,640384
L308,L08,642438
L309,L09,644492
L310,L09,646546
L311,L06,64860
L312,L07,650654
L313,L08,652708
L314,L09,654762
L315,L09,656816
L316,L06,65887
L317,L07,660924
L318,L08,662978
L319,L09,665032
L320,L09,667086
L321,L06,66914
L322,L07,671194
L323,L08,673248
L324,L09,675302
L325,L09,677356
L326,L06,67941
L327,L07,681464
L328,L08,683518
L329,L09,685572
L330,L09,687626
L331,L06,68968
L332,L07,691734
L333,L08,693788
L334,L09,695842
L335,L09,697896
L336,L06,69995
L337,L07,702004
L338,L08,704058
L339,L09,706112
L340,L09,708166
L341,L06,71022
L342,L07,712274
L343,L08,714328
L344,L09,716382
L345,L09,718436
L346,L06,72049
L347,L07,722544
L348,L08,724598
L349,L09,726652
L350,L09,728706
L351,L06,73076
L352,L07,732814
L353,L08,734868
L354,L09,736922
L355,L09,738976
L356,L09,74103
L357,L06,743084
L358,L07,745138
L359,L08,747192
L360,L09,749246
L361,L09,75130
L362,L06,753354
L363,L07,755408
L364,L08,757462
L365,L09,759516
L366,L09,76157
L367,L06,763624
L368,L07,765678
L369,L08,767732
L370,L09,769786
L371,L09,77184
L372,L06,773894
L373,L07,775948
L374,L08,778002
L375,L09,780056
L376,L09,78211
L377,L06,784164
L378,L07,786218
L379,L08,788272
L380,L09,790326
L381,L09,79238
L382,L06,794434
L383,L07,796488
L384,L08,798542
L385,L09,800596
L386,L09,80265
L387,L06,804704
L388,L07,806758
L389,L08,808812
L390,L09,810866
L391,L09,81292
L392,L06,814974
L393,L07,817028
